close,epoch,high,low,open
109360.9473,2025-06-22 05:58:00,109490.7367,109356.8991,109490.7367
109160.0293,2025-06-22 05:59:00,109340.0626,109160.0293,109340.0626
109158.2163,2025-06-22 06:00:00,109219.6843,109120.4096,109170.4242
109092.4025,2025-06-22 06:01:00,109188.1693,109050.6388,109139.3171
109032.3611,2025-06-22 06:02:00,109146.9892,109006.962,109136.0039
109225.9792,2025-06-22 06:03:00,109240.6425,109048.4208,109096.4832
109131.8089,2025-06-22 06:04:00,109266.1459,109131.8089,109218.3894
108864.224,2025-06-22 06:05:00,109114.4939,108846.044,109101.8759
108882.1021,2025-06-22 06:06:00,108928.0624,108837.9441,108884.0372
108760.6792,2025-06-22 06:07:00,108869.7006,108724.2653,108856.8376
108753.6736,2025-06-22 06:08:00,108820.3285,108731.1302,108751.9221
108736.7116,2025-06-22 06:09:00,108800.1864,108679.6003,108732.1354
108862.4466,2025-06-22 06:10:00,108862.4466,108698.9296,108707.1611
108932.6028,2025-06-22 06:11:00,109029.3645,108855.3598,108855.3598
108879.3691,2025-06-22 06:12:00,108988.2007,108866.9022,108948.8809
108912.2333,2025-06-22 06:13:00,108937.565,108828.161,108868.3949
108981.7958,2025-06-22 06:14:00,108981.7958,108840.7856,108906.1733
108980.0805,2025-06-22 06:15:00,108988.4715,108925.8825,108972.445
109090.9897,2025-06-22 06:16:00,109090.9897,108984.6444,108984.6444
109044.4621,2025-06-22 06:17:00,109130.6968,109016.4104,109094.851
109082.2687,2025-06-22 06:18:00,109104.0885,108994.7086,109029.7516
109007.2497,2025-06-22 06:19:00,109133.1468,108983.0257,109083.7312
108966.8901,2025-06-22 06:20:00,109043.3756,108871.1942,108992.1702
109060.3207,2025-06-22 06:21:00,109112.054,108898.4314,108934.8939
109034.0729,2025-06-22 06:22:00,109070.5531,108926.1076,109070.5531
109115.9463,2025-06-22 06:23:00,109115.9463,108949.8514,109021.2752
109001.5732,2025-06-22 06:24:00,109133.7891,108998.6021,109106.797
108858.5303,2025-06-22 06:25:00,109036.7204,108858.5303,109023.9887
108903.3405,2025-06-22 06:26:00,108942.7536,108806.687,108830.3849
108824.5392,2025-06-22 06:27:00,108968.9092,108781.1954,108917.2903
108800.3009,2025-06-22 06:28:00,108856.586,108755.698,108851.7546
108805.6332,2025-06-22 06:29:00,108905.2082,108777.4982,108840.3505
108884.9406,2025-06-22 06:30:00,108893.4293,108722.6969,108813.2988
108864.0887,2025-06-22 06:31:00,109026.2509,108835.4179,108900.694
108878.4625,2025-06-22 06:32:00,108917.2519,108796.3117,108867.8192
108874.9642,2025-06-22 06:33:00,108908.3791,108748.0893,108878.9597
108915.4359,2025-06-22 06:34:00,108942.9738,108853.5898,108853.5898
108812.0025,2025-06-22 06:35:00,108989.5196,108812.0025,108922.5497
108822.2709,2025-06-22 06:36:00,108846.1252,108765.7132,108783.4476
108889.2235,2025-06-22 06:37:00,108934.1224,108801.4881,108815.7542
109128.3345,2025-06-22 06:38:00,109175.098,108905.5568,108905.5568
109100.4406,2025-06-22 06:39:00,109143.5526,109042.3334,109093.8343
109038.4327,2025-06-22 06:40:00,109105.1584,109000.4285,109105.1584
108935.0916,2025-06-22 06:41:00,109080.7274,108860.9187,109071.0387
109005.6587,2025-06-22 06:42:00,109013.2859,108884.6082,108938.6485
108836.6161,2025-06-22 06:43:00,109029.477,108836.6161,108993.6762
108828.2327,2025-06-22 06:44:00,108910.6091,108820.1034,108831.3862
108730.0664,2025-06-22 06:45:00,108830.5518,108697.2066,108818.9089
108709.1657,2025-06-22 06:46:00,108767.3427,108661.9656,108713.711
108753.0665,2025-06-22 06:47:00,108848.2159,108693.6705,108705.9654
108862.9242,2025-06-22 06:48:00,108946.4773,108746.0898,108755.9196
108872.0584,2025-06-22 06:49:00,108926.6036,108817.7317,108848.4617
109037.5243,2025-06-22 06:50:00,109047.7429,108873.6867,108873.6867
108941.1828,2025-06-22 06:51:00,109015.3954,108911.1956,109015.3954
108978.7381,2025-06-22 06:52:00,109063.3476,108930.0634,108962.8495
108870.2976,2025-06-22 06:53:00,108957.1669,108830.2421,108957.1669
108861.4706,2025-06-22 06:54:00,108907.7383,108778.2642,108905.2156
108928.5023,2025-06-22 06:55:00,108951.4779,108790.718,108863.9069
108838.0034,2025-06-22 06:56:00,108993.5775,108814.8939,108932.7583
108771.4405,2025-06-22 06:57:00,108865.3827,108750.8417,108827.705
108804.5934,2025-06-22 06:58:00,108849.7823,108742.2756,108765.8303
108577.6966,2025-06-22 06:59:00,108800.4769,108527.6768,108799.5712
108511.1235,2025-06-22 07:00:00,108642.372,108482.9232,108590.1184
108507.3859,2025-06-22 07:01:00,108559.5552,108481.8125,108531.5578
108547.0684,2025-06-22 07:02:00,108576.7355,108459.4673,108498.7732
108529.8253,2025-06-22 07:03:00,108599.0137,108457.9013,108519.5703
108472.4215,2025-06-22 07:04:00,108582.1779,108468.4828,108536.8712
108419.3165,2025-06-22 07:05:00,108464.1071,108329.4422,108464.1071
108527.0717,2025-06-22 07:06:00,108528.5675,108384.6972,108449.5967
108540.9392,2025-06-22 07:07:00,108557.3216,108417.0707,108489.2422
108401.405,2025-06-22 07:08:00,108642.8038,108379.5903,108578.4713
108169.0085,2025-06-22 07:09:00,108402.397,108158.5333,108402.397
108113.0107,2025-06-22 07:10:00,108206.3525,108096.6398,108160.2662
108243.5385,2025-06-22 07:11:00,108292.0024,108113.9751,108113.9751
108153.4488,2025-06-22 07:12:00,108263.9146,108146.2273,108257.092
108065.1294,2025-06-22 07:13:00,108158.5231,108065.1294,108138.1261
